id,udes,ades,ds
9895,Headquartered in the United States| this is a globally diversified information and financial services group. The firm acquires companies that have potential with an aim of setting up their global operations and making them profitable.Acquisition CriteriaThe firm is seeking Global opportunities with the below mentioned specifics:Data centre and integration services with minimum revenues of USD 30 mn. The firm does not have any restriction on geography but will invest only in democratic countries.,NULL,2
9894,Headquartered in the United States| this is a globally diversified information and financial services group. The firm acquires companies that have potential with an aim of setting up their global operations and making them profitable.Acquisition CriteriaThe firm is seeking Global opportunities with the below mentioned specifics:1) Debt collection services -The target should have minimum revenues of USD 20 mn if its based outside North America| minimum revenues of USD 10 mn if it's within USA and Canada2) Tender Information Services - Global - Minimum revenues of USD 5m+3) E- tendering solutions - Global - Minimum revenues of USD 10mn+The Preference is to acquire one of the regional Market Leaders| in any democratic region.,NULL,2
9893,Headquartered in the United States| this is a globally diversified information and financial services group. The firm acquires companies that have potential with an aim of setting up their global operations and making them profitable.Acquisition CriteriaThe firm is seeking opportunities in Europe| Asia and Australasia in the nice software space| with the below mentioned specifics:HR & Payroll Software Solution -    Revenue $5mn+ERP| CRM Software Solutions -       Revenue $10mn+Workflow management solutions - Revenue $10mn+Clinic Management Software -        Revenue $15mnIt can also consider any other niche space/product| wherein the business is generating an EBITDA of at least $1mn,NULL,2
9884,Based out of Canada| this is a leading specialty CRO providing clinical laboratory testing services in immune monitoring and proteomics to the biopharmaceutical industry.Acquisition CriteriaThe company is seeking opportunities to diversify and expand its current business by acquiring companies offering complementary laboratory services primarily focused on clinical testing as well as analytical services for biologics manufacturing process development and characterization:1) Complementary Clinical Immunology and Biomarker Offerings:Diversify current immune monitoring offering by adding complementary technologies that support analytical services for vaccines (human/animal)| immuno-oncology| auto-immune| infectious diseases| metabolic and CNS diseases. Services could include but are not limited to immunogenicity| serology| systems biology| and complementary omics (e.g. genomics| metabolomics and lipidomics)2) Biologics Manufacturing:Comprehensive suite of assays for the characterization of pre-clinical through to commercial stage biologics/biosimilars. Services of interest include immunogenicity| physicochemical characterization| stability and other bioanalytical methods supporting preclinical to commercial biologic manufacturing3) Other servicesGrow current services in biostatistics| bioinformatics| clinical data analysis and reporting,NULL,2
9881,Headquartered in the United States| this company  manufactures and distributes metal formed products and class-C components. The company offers fasteners and cold formed components| cold forged components| internally threaded components| pierce and clinch fastening systems| CNC wires and tubes etc.It provides products and solutions for several industry segments| including automotive (OEM-direct and tier)| aerospace| defense| medical| lawn and garden| appliance| elevator| HVAC| energy| heavy equipment| and others.The company is currently seeking opportunities in the below mentioned areas:Manufacturers of:Cold formed fasteners and other componentsMachined partsPlastic componentsRoll formed partsStamped partsWire formsSpringsRubber partsCastings/ForgingsPowder metal parts and other specialty niche componentsDistributors of:Fastners and Classic C itemsAerospace components,NULL,2
9875,Global supplier in the design| manufacture and service of slurry pumps| parts and associated products. We are looking for companies that provide slurry pump or other mining  equipment globally.,NULL,2
9874,We are looking to acquire insurance brokers that specialize in property and casualty.,NULL,2
9868,Looking for professional footwear companies with no seasonality like safety shoes or other working shoes with professional specification and dependency on changing fashion.,NULL,2
9866,We are seeking acquisition of event management companies especially-  trade shows and conferences.,NULL,2
9864,We are looking for distributors and manufacturers of print circuits for electronic systems. Only distributors in case of North America and Europe.,NULL,2
