kwid,bid
6569,9405
6570,9405
6571,9405
9590,9408
9670,9295
9678,9412
9679,9411
6554,9403
9740,9415
9741,9415
9778,9421
9779,9421
9780,9421
9808,9426
9809,9426
9810,9425
9811,9425
9812,9424
9813,9424
9818,9427
9898,9341
9899,9341
9900,9353
9902,9404
7327,9404
9906,9330
9904,9330
9905,9330
9907,9430
9921,9434
9994,9438
9995,9438
9996,9438
10000,9441
10002,9441
10003,9441
10001,9441
10028,9445
10029,9445
10030,9445
10043,9440
10044,9440
9904,9446
9905,9446
10084,9448
10085,9448
10086,9448
10087,9448
10088,9448
10089,9448
10090,9448
10091,9448
10092,9448
10093,9448
10094,9448
10095,9448
10018,9447
10027,9447
10096,9447
10097,9447
10098,9447
10099,9447
10100,9447
10101,9447
10104,7894
10105,7894
10106,7894
10107,7894
10114,9452
10116,9452
10111,9452
10112,9452
10113,9452
10115,9452
10117,9452
10118,9453
10119,9453
10152,9458
10153,9458
10154,9458
10160,9459
10161,9459
10162,9459
6554,9463
10164,9463
10165,9463
10166,9463
10036,9463
9691,9463
9692,9463
9723,9463
9781,9463
9855,9463
10052,9463
10053,9463
10055,9463
8585,9463
10050,9463
10054,9463
10163,9463
9132,9463
9135,9463
9703,9463
9755,9463
10167,9463
10168,9463
9655,9457
9721,9457
9114,9457
9861,9457
10144,9457
9860,9457
9662,9457
10098,9457
10101,9457
7135,9457
10274,9467
10333,9470
10331,9470
10332,9470
10341,9475
10404,9476
10405,9476
10406,9476
10407,9476
10408,9476
10409,9476
10410,9476
10411,9476
10412,9476
10413,9476
10414,9476
10415,9476
10416,9476
10417,9476
10418,9476
8895,9478
10423,9478
10419,9478
10421,9478
10422,9478
7091,9479
7096,9479
8936,9479
8935,9479
7674,9479
7683,9479
7687,9479
7677,9479
7682,9479
9706,9477
9831,9477
9832,9477
10424,9477
10437,9482
10438,9482
10439,9482
10445,9485
10444,9485
9675,9474
10449,9489
10450,9489
10448,9489
10451,9489
10452,9489
10453,9489
10454,9489
10455,9491
10456,9491
10457,9491
10458,9491
10459,9491
10460,9491
10461,9487
10462,9487
10463,9487
10464,9487
10465,9488
10466,9488
10467,9460
10468,9460
10469,9460
9273,9460
6811,9460
10470,9460
10471,9460
10472,9460
10475,9492
10476,9492
10020,9496
7064,9496
9138,9496
9146,9496
9150,9496
9706,9496
9774,9496
9831,9496
9832,9496
9898,9496
10477,9496
10491,9499
10488,9499
10490,9499
10489,9499
10494,9500
10495,9500
10492,9500
10493,9500
10496,9501
10497,9501
10508,9502
10514,9505
10521,9497
10522,9497
10523,9497
10524,9497
10541,9510
10540,9510
10542,9510
10543,9510
7354,9514
7371,9514
10579,9514
10581,9514
10582,9514
10583,9515
10584,9515
10585,9515
10586,9515
10595,9513
7055,9517
7059,9517
7062,9517
9757,9517
9759,9517
10596,9517
10597,9517
10598,9517
7055,9520
10605,9520
10606,9520
10610,9520
7826,9520
10607,9520
10609,9520
10116,9521
10611,9521
10612,9521
10613,9521
10614,9521
10615,9521
10117,9521
10616,9521
10617,9521
