id,dID,type,secid,sub_secid
166250,7102,seller,6565,6668
166283,7104,seller,6555,6564
166284,7105,seller,6559,6619
166323,7107,seller,6556,6583
166324,7107,seller,6556,6585
166325,7107,seller,6556,6589
166326,7107,seller,6556,6590
166327,7107,seller,6556,6593
211094,7132,seller,6561,6641
211130,7136,seller,6557,6606
211131,7136,seller,6577,6762
211134,7138,seller,6565,6674
211137,7139,seller,6558,6607
211138,7139,seller,6558,6608
211139,7139,seller,6558,6614
211140,7139,seller,6557,6595
211141,7139,seller,6557,6596
211142,7139,seller,6557,6597
211143,7139,seller,6557,6598
211144,7139,seller,6557,6605
211145,7139,seller,6557,6600
211146,7139,seller,6557,6601
211147,7139,seller,6557,6602
211148,7139,seller,6557,6603
211149,7139,seller,6557,6604
211151,7139,seller,6557,6606
212275,7144,seller,6564,6665
212276,7144,seller,6565,6672
212277,7144,seller,6565,6675
212433,7146,seller,6573,6732
212434,7146,seller,6573,6734
801621,7173,seller,6570,6702
801622,7173,seller,6572,6715
802657,7182,seller,6554,6554
802658,7182,seller,6554,6556
802659,7182,seller,6555,6563
802660,7182,seller,6555,6564
802661,7182,seller,6555,6565
802662,7182,seller,6555,6566
802663,7182,seller,6555,6567
802664,7182,seller,6555,6568
802665,7182,seller,6555,6569
802666,7182,seller,6555,6570
802667,7182,seller,6555,6571
802668,7182,seller,6555,6572
802669,7182,seller,6555,6573
802670,7182,seller,6555,6574
802671,7182,seller,6555,6575
802672,7182,seller,6555,6576
802673,7182,seller,6555,6577
802674,7182,seller,6555,6578
802675,7182,seller,6555,6579
802676,7182,seller,6555,6580
802677,7182,seller,6555,6581
802678,7182,seller,6555,6582
804957,7202,seller,6565,6672
805226,7255,seller,6554,6556
806226,7170,seller,6556,6589
806227,7170,seller,6556,6590
806228,7170,seller,6556,6593
806889,7262,seller,6568,6689
806944,7204,seller,6574,6743
806945,7204,seller,6574,6744
806946,7204,seller,6574,6745
806947,7204,seller,6574,6746
821020,7349,seller,6573,6729
821182,7259,seller,6573,6733
821183,7259,seller,6573,6734
821184,7259,seller,6573,6735
828583,7465,seller,6565,6673
831071,7480,seller,6556,6584
831072,7480,seller,6556,6585
831073,7480,seller,6557,6598
831074,7480,seller,6557,6606
831423,7483,seller,6573,6734
831926,7491,seller,6573,6734
831927,7491,seller,6574,6743
831928,7491,seller,6574,6745
831929,7492,seller,6573,6734
831930,7492,seller,6574,6743
831931,7492,seller,6574,6744
831932,7492,seller,6574,6745
831933,7493,seller,6573,6734
831934,7493,seller,6574,6743
831935,7493,seller,6574,6744
831936,7493,seller,6574,6745
833340,7527,seller,6554,6554
833341,7527,seller,6554,6556
833342,7527,seller,6556,6587
833603,7539,seller,6555,6565
833604,7539,seller,6556,6590
833605,7539,seller,6556,6593
843254,7679,seller,6562,6643
843255,7679,seller,6562,6644
843256,7679,seller,6563,6652
843257,7679,seller,6563,6654
843258,7679,seller,6563,6656
843259,7679,seller,6563,6660
843260,7679,seller,6563,6662
846822,7693,seller,6554,6554
846823,7693,seller,6577,6762
846824,7692,seller,6577,6762
861159,7772,seller,6565,6673
861594,7788,seller,6556,6587
861595,7788,seller,6554,6554
861596,7788,seller,6554,6555
861597,7788,seller,6554,6556
861598,7788,seller,6554,6557
861599,7788,seller,6554,6558
861600,7788,seller,6554,6559
861601,7788,seller,6554,6560
861602,7788,seller,6554,6561
861603,7788,seller,6554,6562
871119,7991,seller,6564,6663
871120,7991,seller,6564,6665
871121,7991,seller,6564,6666
871122,7991,seller,6565,6668
871123,7991,seller,6565,6671
871124,7991,seller,6565,6672
871318,7996,seller,6556,6591
871319,7996,seller,6559,6617
873521,7332,seller,6554,6554
873522,7332,seller,6555,6563
873523,7332,seller,6555,6564
873524,7332,seller,6555,6565
873525,7332,seller,6555,6566
873526,7332,seller,6555,6567
873527,7332,seller,6555,6568
873528,7332,seller,6555,6569
873529,7332,seller,6555,6570
873530,7332,seller,6555,6571
873531,7332,seller,6555,6572
873532,7332,seller,6555,6573
873533,7332,seller,6555,6574
873534,7332,seller,6555,6575
873535,7332,seller,6555,6576
873536,7332,seller,6555,6577
873537,7332,seller,6555,6578
873538,7332,seller,6555,6579
873539,7332,seller,6555,6580
873540,7332,seller,6555,6581
873541,7332,seller,6555,6582
873542,7332,seller,6556,6583
873543,7332,seller,6556,6584
873544,7332,seller,6556,6585
155729,7093,seller,6557,6598
155730,7093,seller,6557,6602
155731,7093,seller,6557,6604
155732,7093,seller,6562,6643
157789,7100,seller,6562,6643
157790,7100,seller,6562,6644
797200,7160,seller,6556,6588
797706,7164,seller,6556,6591
809016,7268,seller,6560,6626
810134,7272,seller,6567,6682
810135,7272,seller,6567,6684
810136,7272,seller,6567,6685
810137,7272,seller,6567,6686
810138,7272,seller,6567,6687
812178,7280,seller,6565,6673
812179,7280,seller,6577,6762
813193,7289,seller,6562,6648
822590,7352,seller,6562,6646
822591,7352,seller,6573,6734
825104,7367,seller,6563,6660
825105,7368,seller,6558,6609
825106,7368,seller,6558,6613
825107,7368,seller,6558,6616
825108,7369,seller,6563,6660
825109,7369,seller,6563,6662
825110,7370,seller,6565,6674
825111,7371,seller,6565,6674
827244,7427,seller,6560,6631
827245,7427,seller,6560,6632
827246,7427,seller,6563,6651
836802,7549,seller,6565,6673
836807,7550,seller,6565,6673
838671,7555,seller,6565,6672
841375,7668,seller,6573,6729
841376,7668,seller,6573,6730
841377,7668,seller,6573,6731
841378,7668,seller,6573,6732
847951,7694,seller,6556,6591
847952,7694,seller,6558,6613
851184,7718,seller,6573,6734
851185,7718,seller,6574,6739
851186,7718,seller,6574,6738
854663,7737,seller,6566,6677
862475,7931,seller,6561,6641
862476,7931,seller,6573,6729
862477,7931,seller,6573,6734
865408,7948,seller,6568,6688
865409,7949,seller,6565,6674
865736,7792,seller,6556,6589
865750,7835,seller,6555,6571
865755,7831,seller,6556,6584
865756,7831,seller,6556,6585
865764,7864,seller,6567,6680
865781,7913,seller,6556,6585
865782,7913,seller,6577,6759
865785,7915,seller,6556,6585
865793,7894,seller,6556,6593
865794,7894,seller,6565,6672
865831,7805,seller,6556,6587
867940,7972,seller,6561,6640
868703,7975,seller,6573,6734
868718,7974,seller,6573,6734
869536,7979,seller,6556,6586
869537,7979,seller,6556,6587
869538,7979,seller,6556,6588
869539,7979,seller,6556,6593
869603,7147,seller,6556,6587
869604,7147,seller,6556,6593
869758,7983,seller,6573,6734
870815,7987,seller,6557,6604
870816,7987,seller,6572,6725
870817,7987,seller,6572,6728
881632,7546,seller,6565,6668
881633,7546,seller,6565,6672
882501,8077,seller,6565,6674
883383,8088,seller,6573,6734
884200,8091,seller,6573,6734
884201,8090,seller,6573,6734
884249,8092,seller,6555,6563
884250,8092,seller,6555,6564
884251,8092,seller,6555,6565
884252,8092,seller,6555,6568
884860,8094,seller,6565,6672
885334,8097,seller,6565,6672
885335,8097,seller,6565,6675
885337,8096,seller,6565,6668
885339,8100,seller,6573,6734
885340,8101,seller,6573,6734
885389,8103,seller,6556,6584
885390,8103,seller,6556,6585
885391,8103,seller,6556,6586
885392,8103,seller,6556,6587
885393,8103,seller,6556,6588
885448,8106,seller,6556,6585
885450,8107,seller,6556,6585
885787,8114,seller,6556,6585
885788,8114,seller,6557,6598
888308,8118,seller,6556,6585
890279,8123,seller,6557,6598
890280,8123,seller,6557,6602
890281,8123,seller,6557,6604
890282,8123,seller,6561,6637
890283,8123,seller,6562,6643
890309,8129,seller,6557,6604
890310,8129,seller,6557,6605
890325,8133,seller,6559,6617
890326,8133,seller,6559,6618
890577,8145,seller,6557,6598
890578,8145,seller,6557,6602
890579,8145,seller,6557,6603
890580,8145,seller,6557,6604
890581,8146,seller,6560,6625
890582,8146,seller,6563,6649
890592,8151,seller,6557,6598
890593,8151,seller,6557,6602
890634,8111,seller,6557,6596
890659,8105,seller,6573,6729
890660,8105,seller,6573,6730
890661,8105,seller,6573,6731
890662,8105,seller,6573,6733
890663,8105,seller,6573,6734
890664,8105,seller,6573,6735
890969,8169,seller,6565,6672
891326,8175,seller,6565,6673
891885,8208,seller,6556,6586
891886,8208,seller,6556,6587
891887,8208,seller,6560,6627
891942,8202,seller,6570,6703
891943,8202,seller,6570,6702
891994,8215,seller,6558,6607
891995,8215,seller,6558,6609
891996,8215,seller,6558,6615
891997,8215,seller,6558,6611
891998,8215,seller,6558,6612
892533,8064,seller,6556,6586
892534,8064,seller,6556,6587
892535,8064,seller,6556,6588
892536,8064,seller,6557,6603
892537,8064,seller,6574,6745
892538,8064,seller,6574,6746
893150,8181,seller,6556,6584
903018,8442,seller,6556,6590
903019,8442,seller,6556,6592
903020,8441,seller,6559,6617
903021,8441,seller,6559,6618
873545,7332,seller,6556,6586
873546,7332,seller,6556,6587
873547,7332,seller,6556,6588
873548,7332,seller,6556,6589
873549,7332,seller,6556,6590
873550,7332,seller,6556,6591
873551,7332,seller,6556,6592
873552,7332,seller,6556,6593
873553,7332,seller,6556,6594
873554,7332,seller,6557,6595
873555,7332,seller,6557,6596
873556,7332,seller,6557,6597
873557,7332,seller,6557,6598
873558,7332,seller,6557,6600
873559,7332,seller,6557,6601
873560,7332,seller,6557,6602
873561,7332,seller,6557,6603
873562,7332,seller,6557,6604
873563,7332,seller,6557,6605
873564,7332,seller,6557,6606
874707,8022,seller,6573,6730
877846,8049,seller,6568,6689
878082,8044,seller,6573,6729
878261,8057,seller,6565,6671
878262,8057,seller,6565,6672
878263,8057,seller,6565,6674
878264,8057,seller,6565,6675
879334,8058,seller,6555,6569
879335,8058,seller,6556,6583
879336,8058,seller,6556,6584
879337,8058,seller,6556,6585
879338,8058,seller,6556,6588
879339,8058,seller,6556,6590
879340,8058,seller,6556,6592
879341,8058,seller,6556,6593
879342,8058,seller,6557,6598
879343,8058,seller,6559,6621
879349,8059,seller,6556,6590
879350,8059,seller,6556,6593
894034,8246,seller,6556,6585
894258,8289,seller,6563,6649
894259,8289,seller,6565,6673
894266,8287,seller,6573,6730
894267,8287,seller,6573,6731
894268,8287,seller,6573,6733
894269,8287,seller,6573,6734
894270,8287,seller,6574,6741
894280,8286,seller,6557,6595
894281,8286,seller,6557,6598
894282,8286,seller,6557,6601
894283,8286,seller,6557,6602
894286,8285,seller,6556,6586
894287,8285,seller,6556,6587
894288,8285,seller,6556,6588
894289,8285,seller,6557,6595
894290,8285,seller,6557,6598
894291,8285,seller,6557,6602
894292,8285,seller,6557,6604
894311,8283,seller,6570,6702
894312,8283,seller,6570,6703
894318,8282,seller,6560,6625
894319,8282,seller,6560,6626
894320,8282,seller,6560,6628
894321,8282,seller,6563,6659
894322,8282,seller,6563,6662
894544,8342,seller,6560,6626
895616,8405,seller,6555,6566
895617,8405,seller,6565,6672
895618,8405,seller,6565,6673
895670,8399,seller,6557,6598
895671,8399,seller,6557,6604
895672,8399,seller,6561,6640
895673,8398,seller,6556,6585
895674,8398,seller,6557,6598
895747,8397,seller,6556,6585
895748,8397,seller,6557,6598
895849,8396,seller,6556,6585
895850,8396,seller,6557,6598
895851,8395,seller,6556,6585
895852,8395,seller,6557,6598
895862,8403,seller,6564,6665
895863,8403,seller,6565,6672
895864,8403,seller,6565,6673
895964,8402,seller,6564,6665
895965,8402,seller,6564,6666
895966,8402,seller,6565,6672
896026,8418,seller,6565,6672
896027,8418,seller,6565,6673
896908,8421,seller,6565,6668
896909,8421,seller,6565,6672
897449,8356,seller,6556,6585
897450,8356,seller,6557,6595
897451,8356,seller,6557,6598
897454,8385,seller,6563,6659
897455,8385,seller,6563,6660
897456,8385,seller,6563,6662
897474,8387,seller,6554,6554
897475,8387,seller,6554,6556
897476,8387,seller,6554,6561
897490,8371,seller,6556,6585
897491,8371,seller,6560,6629
897501,8380,seller,6556,6585
897502,8380,seller,6572,6727
897503,8380,seller,6572,6763
897509,8432,seller,6565,6673
897510,8433,seller,6564,6665
897511,8433,seller,6565,6668
897512,8433,seller,6565,6669
897513,8433,seller,6565,6670
897514,8433,seller,6565,6671
897515,8433,seller,6565,6672
897516,8433,seller,6565,6673
897517,8433,seller,6565,6674
897518,8433,seller,6565,6675
897519,8433,seller,6565,6676
897534,8435,seller,6565,6673
897537,8437,seller,6565,6672
900409,8439,seller,6560,6625
900410,8439,seller,6560,6626
900411,8439,seller,6563,6662
901623,8388,seller,6557,6603
901624,8388,seller,6573,6734
901625,8388,seller,6573,6735
901626,8388,seller,6574,6737
901627,8388,seller,6574,6739
901628,8351,seller,6556,6592
901629,8351,seller,6556,6594
901630,8352,seller,6556,6585
901631,8352,seller,6557,6598
901632,8352,seller,6557,6604
908964,8545,seller,6556,6585
908965,8545,seller,6572,6725
908969,8542,seller,6556,6584
908986,8564,seller,6560,6624
908987,8564,seller,6563,6652
909588,8571,seller,6556,6587
909589,8571,seller,6574,6745
909610,8575,seller,6556,6584
909611,8575,seller,6556,6594
909612,8575,seller,6560,6628
909616,8577,seller,6556,6594
909617,8577,seller,6560,6625
909618,8577,seller,6560,6626
909632,8579,seller,6565,6672
909633,8579,seller,6565,6674
903022,8441,seller,6559,6620
903023,8441,seller,6559,6621
903027,8374,seller,6567,6684
903028,8374,seller,6567,6685
903242,8353,seller,6555,6579
903243,8353,seller,6556,6593
903244,8355,seller,6555,6569
903245,8359,seller,6556,6586
903246,8359,seller,6556,6587
903247,8359,seller,6556,6588
903248,8360,seller,6560,6629
903253,8362,seller,6556,6585
903254,8362,seller,6572,6763
903255,8362,seller,6572,6764
903256,8363,seller,6556,6585
903257,8364,seller,6557,6604
903258,8364,seller,6557,6605
903324,8365,seller,6555,6575
903325,8365,seller,6555,6579
903326,8365,seller,6556,6593
903327,8365,seller,6556,6594
903332,8372,seller,6556,6584
903333,8372,seller,6556,6585
903408,8373,seller,6556,6584
903409,8373,seller,6556,6585
903410,8373,seller,6557,6604
903417,8377,seller,6559,6621
903418,8377,seller,6563,6661
903424,8382,seller,6556,6585
903425,8383,seller,6556,6585
903426,8384,seller,6557,6595
903427,8384,seller,6557,6598
904026,8552,seller,6556,6586
904027,8552,seller,6556,6587
904028,8552,seller,6567,6680
904029,8552,seller,6567,6687
904275,8551,seller,6556,6584
904276,8551,seller,6556,6585
904277,8551,seller,6572,6763
904282,8546,seller,6556,6590
904283,8546,seller,6556,6591
904284,8546,seller,6556,6592
904285,8546,seller,6556,6593
904286,8546,seller,6563,6649
904288,8553,seller,6560,6634
904294,8556,seller,6565,6672
904295,8556,seller,6565,6675
904308,8244,seller,6560,6623
904309,8244,seller,6560,6624
904310,8244,seller,6560,6625
904311,8244,seller,6560,6627
904312,8244,seller,6560,6628
904313,8244,seller,6563,6662
907440,8565,seller,6554,6554
907441,8565,seller,6557,6598
907442,8565,seller,6557,6604
907443,8565,seller,6563,6649
907490,8452,seller,6556,6585
907494,8456,seller,6557,6598
907505,8458,seller,6557,6598
907515,8467,seller,6565,6673
907518,8468,seller,6556,6591
907519,8468,seller,6560,6625
907520,8470,seller,6561,6639
907521,8471,seller,6558,6612
907523,8473,seller,6564,6666
907524,8474,seller,6556,6585
907525,8475,seller,6558,6612
907526,8476,seller,6564,6667
907527,8477,seller,6567,6684
907528,8478,seller,6557,6598
907529,8479,seller,6563,6661
907530,8480,seller,6563,6661
907549,8481,seller,6556,6585
907551,8483,seller,6558,6612
907554,8486,seller,6560,6627
907556,8488,seller,6556,6584
907559,8492,seller,6558,6612
907560,8493,seller,6557,6598
907561,8495,seller,6557,6598
907562,8496,seller,6557,6598
907563,8497,seller,6556,6584
907564,8497,seller,6572,6767
907565,8498,seller,6563,6649
907753,8499,seller,6556,6593
907754,8500,seller,6560,6632
907755,8500,seller,6560,6634
907761,8502,seller,6563,6661
908319,8567,seller,6568,6689
908320,8568,seller,6573,6730
908321,8568,seller,6573,6733
908322,8568,seller,6573,6734
908323,8568,seller,6573,6735
908365,8313,seller,6555,6565
916834,9820,seller,6557,6605
917165,9828,seller,6557,6598
917166,9828,seller,6564,6665
917167,9829,seller,6557,6604
917168,9829,seller,6577,6758
917169,8613,seller,6556,6584
917170,8613,seller,6556,6585
917179,8617,seller,6555,6566
917180,8617,seller,6565,6673
917186,8619,seller,6556,6585
917187,8619,seller,6557,6604
917190,8622,seller,6561,6638
917191,8622,seller,6572,6765
917200,8626,seller,6556,6585
917201,8626,seller,6557,6604
917202,8627,seller,6566,6677
917459,9838,seller,6556,6585
917460,9838,seller,6560,6628
917496,8629,seller,6556,6585
917497,8629,seller,6557,6604
917499,7327,seller,6556,6585
917500,7327,seller,6556,6588
917501,7327,seller,6556,6591
917502,7327,seller,6577,6759
917503,7327,seller,6577,6761
917509,8631,seller,6556,6585
917510,8631,seller,6557,6604
917512,8632,seller,6555,6569
917513,8632,seller,6555,6579
917514,8632,seller,6556,6585
917517,8633,seller,6560,6632
917524,8636,seller,6561,6639
917530,8637,seller,6557,6604
917531,8637,seller,6572,6725
917532,8637,seller,6572,6764
917533,8637,seller,6572,6767
917534,8638,seller,6561,6639
917535,8639,seller,6563,6661
917536,8640,seller,6557,6604
917537,8640,seller,6572,6725
917538,8640,seller,6572,6767
917539,8640,seller,6572,6769
917544,8641,seller,6563,6661
917548,8450,seller,6563,6661
917549,8453,seller,6558,6612
917550,8454,seller,6558,6612
917552,8457,seller,6567,6684
917554,8460,seller,6555,6568
917555,8461,seller,6568,6689
917558,8465,seller,6568,6689
917559,8466,seller,6563,6661
909634,8579,seller,6565,6675
909726,8562,seller,6557,6598
909727,8562,seller,6558,6607
909728,8562,seller,6558,6613
909730,8561,seller,6557,6598
909731,8561,seller,6558,6607
909732,8561,seller,6558,6613
909736,8651,seller,6557,6598
909852,8661,seller,6568,6689
910066,8580,seller,6563,6649
910067,8580,seller,6563,6661
910072,8582,seller,6554,6561
910073,8582,seller,6556,6585
910074,8582,seller,6557,6598
910075,8582,seller,6557,6604
910413,8658,seller,6557,6598
910875,8443,seller,6565,6674
910915,8669,seller,6556,6594
910916,8669,seller,6560,6627
910925,8670,seller,6556,6585
910926,8670,seller,6557,6606
910927,8670,seller,6572,6725
911041,8663,seller,6556,6585
911114,8671,seller,6555,6564
911115,8671,seller,6555,6569
911116,8672,seller,6556,6593
911117,8672,seller,6557,6604
911118,8673,seller,6555,6569
911119,8673,seller,6556,6594
911120,8674,seller,6557,6605
911121,8675,seller,6556,6594
911122,8675,seller,6557,6604
911123,8676,seller,6557,6600
911124,8676,seller,6557,6604
911125,8676,seller,6557,6606
911126,8677,seller,6557,6598
911127,8677,seller,6557,6596
911128,8677,seller,6557,6601
911129,8678,seller,6567,6684
911130,8678,seller,6568,6690
911131,8679,seller,6556,6594
911132,8679,seller,6567,6680
911133,8680,seller,6556,6585
911134,8680,seller,6557,6602
911135,8680,seller,6557,6604
911136,8681,seller,6556,6585
911137,8681,seller,6557,6598
911138,8681,seller,6557,6604
911151,8683,seller,6557,6606
911156,8685,seller,6556,6585
911254,8656,seller,6556,6584
911262,8647,seller,6556,6585
911263,8665,seller,6559,6617
911264,8665,seller,6559,6618
911507,8688,seller,6556,6585
911508,8688,seller,6557,6604
911509,8688,seller,6577,6756
911510,8688,seller,6577,6757
911511,8688,seller,6577,6759
911641,8691,seller,6560,6628
911785,7108,seller,6560,6632
911786,7108,seller,6563,6660
912680,8242,seller,6564,6663
912681,8242,seller,6564,6664
912682,8242,seller,6564,6665
912683,8242,seller,6564,6666
912684,8242,seller,6564,6667
912685,8242,seller,6565,6673
913107,8696,seller,6554,6554
913108,8696,seller,6554,6555
913109,8696,seller,6555,6563
913110,8696,seller,6555,6564
913111,8696,seller,6555,6565
913112,8696,seller,6555,6566
913113,8696,seller,6555,6567
913114,8696,seller,6555,6568
913115,8696,seller,6555,6569
913116,8696,seller,6555,6570
913117,8696,seller,6555,6571
913118,8696,seller,6555,6572
913119,8696,seller,6555,6573
913120,8696,seller,6555,6574
913121,8696,seller,6555,6575
913122,8696,seller,6555,6576
913123,8696,seller,6555,6577
913124,8696,seller,6555,6578
913125,8696,seller,6555,6579
913126,8696,seller,6555,6580
913127,8696,seller,6555,6581
913128,8696,seller,6555,6582
914850,9740,seller,6556,6585
914944,8587,seller,6556,6585
914945,8587,seller,6572,6725
914946,8587,seller,6572,6727
914972,9742,seller,6555,6574
914973,9742,seller,6559,6617
915068,9746,seller,6554,6554
915069,9746,seller,6554,6556
915070,9746,seller,6556,6587
915071,9746,seller,6556,6593
915072,9746,seller,6574,6745
915073,9746,seller,6574,6744
915074,9746,seller,6574,6747
915165,9739,seller,6573,6729
915166,9739,seller,6573,6730
915167,9739,seller,6573,6731
915168,9739,seller,6573,6732
915169,9739,seller,6573,6733
915170,9739,seller,6573,6734
915597,8698,seller,6556,6585
915598,8698,seller,6556,6591
915606,8702,seller,6555,6569
915607,8702,seller,6556,6585
915625,8725,seller,6557,6595
915626,8725,seller,6557,6598
915627,8725,seller,6557,6602
915657,8733,seller,6561,6641
915658,8733,seller,6573,6730
915674,9760,seller,6568,6689
915725,9753,seller,6555,6569
915726,9753,seller,6555,6579
915727,9753,seller,6556,6584
915728,9753,seller,6556,6585
915735,8726,seller,6557,6603
915737,8710,seller,6559,6617
915890,8588,seller,6564,6665
915891,8588,seller,6565,6672
915892,8588,seller,6565,6673
915893,8588,seller,6565,6674
915894,8588,seller,6565,6675
915911,8595,seller,6556,6585
915912,8595,seller,6572,6763
915913,8595,seller,6572,6764
915925,8597,seller,6556,6585
915926,8597,seller,6572,6724
915927,8597,seller,6572,6727
915928,8597,seller,6572,6728
915937,8601,seller,6556,6585
915938,8601,seller,6567,6685
915939,8602,seller,6556,6584
915940,8602,seller,6556,6585
915941,8602,seller,6560,6626
915942,8603,seller,6562,6643
915943,8603,seller,6562,6644
915944,8604,seller,6557,6604
917560,8642,seller,6555,6568
917561,8642,seller,6563,6649
917656,9785,seller,6556,6584
917657,9785,seller,6556,6585
917658,9785,seller,6557,6604
917669,9781,seller,6561,6640
917670,9781,seller,6567,6684
923023,9893,seller,6567,6680
923024,9893,seller,6567,6683
923025,9894,seller,6554,6559
923026,9894,seller,6554,6562
923027,9894,seller,6557,6600
923028,9894,seller,6557,6606
923671,9896,seller,6554,6556
923672,9896,seller,6557,6604
923842,9914,seller,6560,6625
923853,9916,seller,6557,6605
924153,9915,seller,6570,6695
924154,9915,seller,6570,6697
924155,9915,seller,6570,6699
924167,9911,seller,6567,6684
924168,9911,seller,6567,6685
924169,9910,seller,6557,6604
924170,9910,seller,6572,6764
924171,9910,seller,6572,6767
924173,9909,seller,6556,6584
