keyid,name,secid,sub_secid
13813,freight,6558,6608
13812,freight forwarding,6558,6614
13811,freight forwarding,6557,6598
13807,snacks,6565,6672
13806,packaged food,6565,6672
13805,cookies,6565,6672
13804,software testing,6573,6730
13803,software maintenance and support,6573,6730
13802,software development,6573,6730
13801,re-engineering,6573,6730
13800,cloud migration,6573,6730
13799,web and mobile application,6573,6734
13798,saas application development,6573,6734
13797,leading financial product platform,6570,6697
13796,housing finance companies,6570,6700
13795,home loans,6570,6699
13794,forestry logs,6555,6581
13793,timber purchase and sale,6555,6581
13791,forest management,6555,6581
13780,ventilation system,6556,6587
13779,sanitary installation,6556,6587
13778,power supplies,6556,6587
13777,power lines,6556,6587
13776,natural gas system,6556,6587
13775,mechanical systems,6556,6587
13774,heating systems,6556,6587
13773,fuel oil system,6556,6587
13772,electrical systems,6556,6587
13771,cooling system,6556,6587
13770,seafood,6565,6675
13769,slurry pump,6555,6575
13768,syringes,6567,6681
13767,surgical masks,6567,6681
13766,pads,6567,6681
13765,dressing,6567,6681
13764,environmental remediation,6557,6600
13763,demolition dismantlement,6557,6600
13762,brownfield redevelopment,6556,6585
13761,professional footwear,6560,6633
13760,tier 1,6559,6617
13759,original equipment manufacturer,6559,6617
13758,truck,6559,6621
13756,quick service,6561,6639
13755,qsr,6561,6639
13754,petrochemical,6555,6564
13753,clinical immunology,6568,6690
13752,clinical data analysis,6568,6690
13751,central nervous system,6568,6690
13750,biomarker,6568,6690
13749,bioinformatics,6568,6690
13748,print circuit boards,6556,6587
13747,outdoor clothing,6560,6632
13746,jackets,6560,6632
13745,bodywarmers,6560,6632
13744,seaweed,6555,6564
13743,natural products,6555,6564
13742,overweight,6568,6689
13741,obesity,6568,6689
13740,ewp,6556,6585
13739,elevated work platform,6556,6585
13738,ticketing,6573,6729
13737,online travel agency,6573,6729
13736,space industry,6574,6739
13735,satellite,6574,6739
13734,crackers,6565,6675
13733,miniature radio frequency,6575,6750
13732,internet of things,6575,6750
13731,s cam shaft,6559,6617
13730,main shafts,6559,6617
13729,forks,6559,6617
13728,drive transmission,6559,6617
13727,coupling flanges,6559,6617
13726,clutch operating lever,6559,6617
13723,metabolic,6568,6688
13722,cardiovascular,6568,6689
13721,antibiotics,6568,6688
13720,wireless networking,6574,6739
13719,network integration,6574,6739
13718,installation,6574,6739
13717,sportswear,6560,6632
13716,activewear,6560,6632
13715,pharmaceutical intermediaries,6555,6568
13714,lcd panels,6574,6746
13713,lcd,6574,6745
13712,maid agency,6557,6605
13711,blue collar placement,6557,6605
13710,pharmaceutical distributor,6568,6689
13709,pharma distributor,6556,6594
13708,fuel pumps,6559,6617
13707,video intelligence platform,6573,6732
13706,unified communications,6576,6754
13705,lifting equipment,6556,6591
13704,heavy equipment hire,6557,6598
13703,heavy equipment,6556,6585
13702,fintech,6573,6729
13701,fintech,6570,6700
13700,multiplex,6561,6638
13699,cinema,6561,6638
13698,data processing| hosting| and related services,6573,6730
13697,computer facilities management services,6573,6729
13696,insurance broker,6571,6706
13695,cocoa,6565,6672
13694,loyalty,6573,6729
13693,ecommerce,6573,6729
13692,digital voucher,6573,6729
13691,digital voucher,6563,6652
13690,scaffolding,6557,6602
13689,scaffolding,6556,6585
13688,scaffolding,6556,6584
13687,crane hire,6557,6602
13686,crane hire,6557,6598
13685,perimeter intrusion detection systems,6557,6603
13684,skin care products,6566,6678
13683,perfumery,6566,6678
13682,hair care products,6566,6678
13680,body care products,6566,6678
13679,engineering design services,6556,6585
13678,lawn & landscape business,6557,6598
13677,used car dealer,6563,6661
13676,furniture retail,6563,6662
13675,residential construction,6556,6585
13674,medical supply distributor,6567,6683
13673,pipe fittings,6556,6593
13672,pipe fittings,6556,6592
13671,pipe fittings,6554,6561
13670,capacitor,6577,6756
13669,contract management services,6557,6598
13668,swimming pool contractor,6556,6585
13666,wood strips,6555,6581
13665,wood pellet,6555,6581
13664,block board,6555,6581
13663,traditional ice-cream,6565,6672
13662,special ice-cream,6565,6672
13661,ice-cream cake,6565,6672
13660,sanitation systems,6557,6600
13659,online assessment tool,6573,6734
13658,food retail,6564,6666
13657,food distributor,6564,6665
13656,digital production company,6562,6643
13655,vinyl emulsions polymers,6555,6564
13654,specialty polymers,6555,6564
13653,sanitary ware,6560,6626
13652,ceramics,6560,6626
13651,water technology,6560,6627
13650,filtration technology,6560,6627
13649,wooden tables,6560,6625
13648,wooden chairs,6560,6625
13647,wooden benches,6560,6625
13646,plastic bags,6555,6570
13645,global meeting & event management,6557,6598
