mid,sid,pid,ustatus,score,astatus
1881545,13868,9814,NULL,9.808000,New
1881544,13868,9813,NULL,9.808000,New
1881542,13868,9788,NULL,9.808000,New
1881529,13868,9705,NULL,9.808000,New
1881526,13868,9663,NULL,9.808000,New
1881512,13868,9548,NULL,9.808000,New
1881507,13868,9502,NULL,9.808000,New
1881506,13868,9501,NULL,9.808000,New
1881505,13868,9500,NULL,9.808000,New
1881504,13868,9499,NULL,9.808000,New
1881503,13868,9497,NULL,9.808000,New
1881500,13868,9491,NULL,9.808000,New
1881498,13868,9486,NULL,9.808000,New
1881497,13868,9480,NULL,9.808000,New
1881494,13868,9472,NULL,9.808000,New
1881485,13868,9445,NULL,9.808000,New
1881479,13868,9419,NULL,9.808000,New
1878739,13867,9809,NULL,10.000000,New
1878737,13867,9542,NULL,10.000000,New
1878736,13867,9527,NULL,10.000000,New
1878733,13867,9328,NULL,9.123000,New
1877766,13860,9812,NULL,9.825000,New
1877761,13860,9729,NULL,9.825000,New
1877749,13860,9548,NULL,9.825000,New
1877746,13860,9488,NULL,9.825000,New
1877262,13781,9893,NULL,9.808000,New
1877257,13781,9769,NULL,9.808000,New
1877252,13781,9703,NULL,9.808000,New
1877248,13781,9670,NULL,9.808000,New
1877240,13781,9598,NULL,9.800000,New
1877229,13781,9457,NULL,9.800000,New
1877228,13781,9452,NULL,9.808000,New
1877226,13781,9444,NULL,9.808000,New
1877224,13781,9344,NULL,9.808000,New
1877075,13853,9895,NULL,10.000000,New
1877064,13853,9705,NULL,10.000000,New
1877055,13853,9502,NULL,10.000000,New
1877054,13853,9501,NULL,10.000000,New
1877053,13853,9500,NULL,10.000000,New
1877052,13853,9499,NULL,10.000000,New
1877051,13853,9489,NULL,9.123000,New
1877049,13853,9472,NULL,10.000000,New
1875983,13720,9765,NULL,9.808000,New
1875976,13720,9667,NULL,9.808000,New
1875839,13765,9894,NULL,10.000000,New
1875838,13765,9809,NULL,10.000000,New
1875835,13765,9542,NULL,10.000000,New
1875834,13765,9527,NULL,10.000000,New
1875832,13765,9516,NULL,10.000000,New
1875830,13765,9435,NULL,10.000000,New
1875828,13765,9398,NULL,10.000000,New
1875827,13765,9328,NULL,10.000000,New
1875522,13744,9826,NULL,10.000000,New
1875521,13744,9734,NULL,10.000000,New
1875520,13744,9724,NULL,10.000000,New
1875519,13744,9692,NULL,10.000000,New
1875518,13744,9684,NULL,10.000000,New
1875514,13744,9494,NULL,10.000000,New
1875513,13744,9446,NULL,10.000000,New
1875509,13744,9349,NULL,10.000000,New
1875508,13744,9327,NULL,10.000000,New
1875440,13797,9598,NULL,10.000000,New
1875439,13797,9585,NULL,10.000000,New
1875435,13797,9398,NULL,10.000000,New
1875434,13797,9348,NULL,10.000000,New
1875347,13816,9814,NULL,10.000000,New
1875346,13816,9813,NULL,10.000000,New
1875345,13816,9788,NULL,10.000000,New
1875342,13816,9766,NULL,10.000000,New
1875326,13816,9548,NULL,10.000000,New
1875324,13816,9497,NULL,10.000000,New
1875322,13816,9491,NULL,10.000000,New
1875321,13816,9489,NULL,10.000000,New
1875320,13816,9486,NULL,10.000000,New
1875319,13816,9480,NULL,10.000000,New
1875310,13816,9419,NULL,10.000000,New
1875113,13851,9459,NULL,10.000000,New
1874928,13852,9548,NULL,10.000000,New
1874277,13850,9714,NULL,10.000000,New
1874270,13850,9596,NULL,10.000000,New
1874263,13850,9548,NULL,10.000000,New
1874261,13850,9497,NULL,10.000000,New
1874259,13850,9492,NULL,10.000000,New
1874256,13850,9486,NULL,10.000000,New
1873930,13846,9809,NULL,10.000000,New
1873929,13846,9783,NULL,10.000000,New
1873927,13846,9714,NULL,10.000000,New
1873924,13846,9527,NULL,10.000000,New
1873921,13846,9441,NULL,10.000000,New
1873920,13846,9430,NULL,10.000000,New
1873634,13848,9814,NULL,9.123000,New
1873630,13848,9813,NULL,10.000000,New
1873627,13848,9788,NULL,10.000000,New
1873605,13848,9750,NULL,10.000000,New
1873542,13848,9552,NULL,10.000000,New
1873538,13848,9548,NULL,10.000000,New
1873532,13848,9497,NULL,10.000000,New
1873521,13848,9491,NULL,10.000000,New
1873513,13848,9486,NULL,10.000000,New
1873509,13848,9480,NULL,10.000000,New
1873479,13848,9445,NULL,9.123000,New
1873474,13848,9419,NULL,10.000000,New
1873456,13848,9395,NULL,10.000000,New
1873454,13848,9393,NULL,10.000000,New
1873450,13848,9392,NULL,10.000000,New
1873448,13848,9390,NULL,10.000000,New
1873445,13848,9388,NULL,10.000000,New
1872848,13849,9809,NULL,10.000000,New
1872847,13849,9783,NULL,10.000000,New
1872838,13849,9441,NULL,10.000000,New
1872837,13849,9430,NULL,10.000000,New
1872600,13094,9728,NULL,10.000000,New
1872596,13094,9502,NULL,10.000000,New
1872594,13094,9369,NULL,10.000000,New
1872512,13836,9502,NULL,10.000000,New
1872318,13835,9769,NULL,10.000000,New
1872315,13835,9703,NULL,10.000000,New
1872306,13835,9599,NULL,10.000000,New
1872289,13835,9452,NULL,10.000000,New
1872286,13835,9344,NULL,10.000000,New
1872082,13832,9471,NULL,9.825000,New
1871958,13833,9471,NULL,9.825000,New
1869996,13824,9806,NULL,10.000000,Approved
1869930,13824,9440,NULL,10.000000,Approved
1869422,13768,9893,NULL,9.808000,New
1869414,13768,9769,NULL,9.808000,New
1869410,13768,9713,NULL,9.808000,New
1869409,13768,9703,NULL,9.808000,New
1869408,13768,9697,NULL,9.808000,New
1869405,13768,9670,NULL,9.808000,New
1869402,13768,9649,NULL,9.808000,New
1869401,13768,9645,NULL,9.808000,New
1869396,13768,9599,NULL,9.800000,New
1869395,13768,9598,NULL,9.800000,New
1869394,13768,9597,NULL,9.800000,New
1869393,13768,9596,NULL,9.800000,New
1869392,13768,9595,NULL,9.800000,New
1869391,13768,9594,NULL,9.800000,New
1869389,13768,9587,NULL,9.800000,New
1869388,13768,9557,NULL,9.808000,New
1869387,13768,9542,NULL,9.808000,New
1869380,13768,9457,NULL,9.800000,New
1869379,13768,9452,NULL,9.808000,New
1869377,13768,9444,NULL,9.808000,New
1869376,13768,9351,NULL,9.808000,New
1869375,13768,9344,NULL,9.808000,New
1868116,13821,9809,NULL,10.000000,New
1868115,13821,9783,NULL,10.000000,New
1868107,13821,9441,NULL,10.000000,New
1868106,13821,9430,NULL,10.000000,New
1867473,13816,9765,NULL,10.000000,New
1867466,13816,9693,NULL,10.000000,New
1867462,13816,9646,NULL,10.000000,New
1867452,13816,9445,NULL,10.000000,New
1867241,13817,9788,NULL,10.000000,New
1867238,13817,9766,NULL,10.000000,New
1867236,13817,9708,NULL,10.000000,New
1867234,13817,9675,NULL,10.000000,New
1867228,13817,9520,NULL,10.000000,New
1867222,13817,9489,NULL,10.000000,New
1867213,13817,9420,NULL,10.000000,New
1867212,13817,9419,NULL,10.000000,New
1867211,13817,9398,NULL,10.000000,New
1867209,13817,9384,NULL,10.000000,New
1866847,13820,9714,NULL,10.000000,New
1866837,13820,9596,NULL,10.000000,New
1866830,13820,9548,NULL,10.000000,New
1866827,13820,9497,NULL,10.000000,New
1866825,13820,9492,NULL,10.000000,New
1866822,13820,9486,NULL,10.000000,New
1865052,13784,9471,NULL,10.000000,New
1865050,13784,9398,NULL,10.000000,New
1865047,13784,9333,NULL,10.000000,New
