id,udes,ades,ds
13867,Latin America based with $9 million in revenue| the company is a leader in cellular telephone equipment installation| planning and support services. It operates in Three of the largest four telecom markets and has plans to enter the fourth one. In addition to installation| the company has a strong tradition of providing installation planning| control and support services to its customers. These service activities—predictable| stable and profitable—combine with the installations to broaden and deepen the company’s relationships with its customers.,NULL,2
13863,US-based| with US$ 6M in revenue| this is a gas station| convenience store & U-Haul business. The station is located off a busy I-75 exit and sits next to two hotels & is a pickup location for Trailways. It pumps over 2 million gallons a year with 12 pumps & easy access to 4 satellite diesel pumps. The convenience store averages sales around $80k/month. The sale includes $80|000 in inventory.,US-based| with US$ 6M in revenue| this is a gas station| convenience store & U-Haul business. The station is located off a busy I-75 exit and sits next to two hotels & is a pickup location for Trailways. It pumps over 2 million gallons a year with 12 pumps & easy access to 4 satellite diesel pumps. The convenience store averages sales around $80k/month. The sale includes $80|000 in inventory.,2
13860,US-based| with revenue of US$ 6M| this is a wholesale medical supply distributor that provides disposable| non-prescription| non-perishable items to distributors of medical supplies. The company is engaged with no retail or end user sales. It has 16+ years of relationships with customers and vendors.,US-based| with revenue of US$ 6M| this is a wholesale medical supply distributor that provides disposable| non-prescription| non-perishable items to distributors of medical supplies. The company is engaged with no retail or end user sales. It has 16+ years of relationships with customers and vendors.,2
13853,US-based with $30 million in revenue| this is a full-service event production and audio-visual integration company. It primarily focuses on corporate events. The company's event production team manages every detail of a client’s project| including related special events that are integrated into a client’s show. Their technology expertise and massive inventory of AV equipment are integral factors in their ability to execute any client request.The Company serves numerous customers in varied industries. It’s largest two customers account for approximately 20% and 13% respectively. Both customers are consumer products companies who have annual revenue of over $1B and over $2B in revenue| respectively| and both accounts are expected grow again in 2018.,US-based with $30 million in revenue| this is a full-service event production and audio-visual integration company. It primarily focuses on corporate events. The company's event production team manages every detail of a client’s project| including related special events that are integrated into a client’s show. Their technology expertise and massive inventory of AV equipment are integral factors in their ability to execute any client request.The Company serves numerous customers in varied industries. It’s largest two customers account for approximately 20% and 13% respectively. Both customers are consumer products companies who have annual revenue of over $1B and over $2B in revenue| respectively| and both accounts are expected grow again in 2018.,2
13852,US-based with $14 million in revenue| this company sells and installs low hour| late model standby and prime power used industrial generators ranging from 50KW to 3MW. Customers include commercial and industrial businesses in the telecommunications| hospital| data center| construction| agriculture| oil & gas| forestry| mining| manufacturing| marine and other industries. The company sells in the US| Canada| Mexico| Europe| South America and Russia.Prominent national customers include Sprint| Qwest| Walmart| Office Depot| Teletech and Major Universities. The business was sold in 2007 and reacquired by the owner in March 2011. The company is a clear leader in used generators and could be grown substantially with little effort.,US-based with $14 million in revenue| this company sells and installs low hour| late model standby and prime power used industrial generators ranging from 50KW to 3MW. Customers include commercial and industrial businesses in the telecommunications| hospital| data center| construction| agriculture| oil & gas| forestry| mining| manufacturing| marine and other industries. The company sells in the US| Canada| Mexico| Europe| South America and Russia.Prominent national customers include Sprint| Qwest| Walmart| Office Depot| Teletech and Major Universities. The business was sold in 2007 and reacquired by the owner in March 2011. The company is a clear leader in used generators and could be grown substantially with little effort.,2
13851,-Germany based manufacturer of premium paper products with a globally renowned brand for premium paper. -The disruptive grass paper technology leads to commercial opportunities in growing packaging market. -Founded in 1855 with 320 employees-The current annual production capacity for coated paper is at 140|000 tons/year but can be scaled up to 300|000 tons/year.-Transformation from premium white paper to deep green packaging expert-The deteriorating market demand for graphical paper| massive rises in pulp prices and market overcapacity has strained liquidity and profitability. The company is looking for a strategic investor| who may realize the full market potential.,Insolvency opportunity to acquire grass paper pioneer  based in Germany with a globally renowned brand for premium paper and a revenue of US$ 90 mn. Current annual production capacity of 140|000 tons/year which can be scaled up to 300|000 tons/year.Firm is being transformed from premium white paper to deep green packaging expert.Filed for insolvency on 30 January 2018. The M&A process has been initiated to identify a strategic investor| who may realize the full market potential of the firm.,2
13850,US-based with $7 million in revenue| this company sells| rents and services construction equipment such as backhoes and loaders. It is a dealer for several prominent new equipment lines. New equipment sales are roughly 60-70% of total revenue| rental is 25-30% of revenue and the balance is service and parts income. The company only uses new equipment for rentals and replaces rental units usually within five years.All sales are the result of word-of-mouth advertising and the company could easily be grown considerably with the addition of sales people and a basic sales / marketing campaign. The facilities are owned by seller and can be purchased or leased at current market rates.,US-based with $7 million in revenue| this company sells| rents and services construction equipment such as backhoes and loaders. It is a dealer for several prominent new equipment lines. New equipment sales are roughly 60-70% of total revenue| rental is 25-30% of revenue and the balance is service and parts income. The company only uses new equipment for rentals and replaces rental units usually within five years.All sales are the result of word-of-mouth advertising and the company could easily be grown considerably with the addition of sales people and a basic sales / marketing campaign. The facilities are owned by seller and can be purchased or leased at current market rates.,2
13849,US-based with $3 million in revenue| this is a a provider of mission critical communications solutions for both - government and commercial users. The company has a strong reputation for system designs| state of the art products| installation and services. Approximately 50% of revenues are generated with various Federal| State| County and Local Government agencies including law enforcement| police and fire departments| EMS| First responder| department of public works and road departments. The remaining 50% of sales are with Commercial users including small businesses| large corporations| school systems| colleges| universities| hospitals| healthcare facilities| contractors and professional sports teams.The company sells| designs| and installs along with providing service support for high quality two way radio communications systems| dispatch consoles| vehicle consoles| emergency vehicle lights| sirens| in-vehicle camera systems| antennas and towers. Brands represented include Motorola| Harris| Tait| Zetron| Hytera and others. There are about 750 accounts with approx. 300 active in any one year.The company occupies 6|000 SF consisting of a 4|000 SF warehouse| showroom & 2|000SF of executive office and show room space. Flexible lease terms available.,US-based with $3 million in revenue| this is a a provider of mission critical communications solutions for both - government and commercial users. The company has a strong reputation for system designs| state of the art products| installation and services. Approximately 50% of revenues are generated with various Federal| State| County and Local Government agencies including law enforcement| police and fire departments| EMS| First responder| department of public works and road departments. The remaining 50% of sales are with Commercial users including small businesses| large corporations| school systems| colleges| universities| hospitals| healthcare facilities| contractors and professional sports teams.The company sells| designs| and installs along with providing service support for high quality two way radio communications systems| dispatch consoles| vehicle consoles| emergency vehicle lights| sirens| in-vehicle camera systems| antennas and towers.,2
13848,US-based with over $9 million in revenue| this is wholesale supplier of plumbing and heating solutions. The company has garnered excellent reputation as an industrial supplier for high quality| competitively priced supplies with on time delivery. It is a one stop shop for a wide range of products including water meters| fire protection equipment| and water works supplies.The company's plumbing & heating products are sold directly to plumbing contractors| home builders| general contractors and water main contractors. Its revenues are generated primarily as a result of repeat business with approximately 400 active accounts in any one year and there is no customer concentration. The company occupies two separately owned warehouse facilities - A modern 30|000 SF warehouse along with a second 5000 SF warehouse. Flexible lease terms are available.,US-based with over $9 million in revenue| this is wholesale supplier of plumbing and heating solutions. The company has garnered excellent reputation as an industrial supplier for high quality| competitively priced supplies with on time delivery. It is a one stop shop for a wide range of products including water meters| fire protection equipment| and water works supplies.The company's plumbing & heating products are sold directly to plumbing contractors| home builders| general contractors and water main contractors. Its revenues are generated primarily as a result of repeat business with approximately 400 active accounts in any one year and there is no customer concentration. The company occupies two separately owned warehouse facilities - A modern 30|000 SF warehouse along with a second 5000 SF warehouse. Flexible lease terms are available.,2
13846,US-based with $7 million in revenue| this is a leading designer and manufacturer of high quality customized passive and active RF microwave components for commercial and military application. The majority of products are manufactured in-house and include DAS-distributed antenna systems| amplifier systems| passive filtering components| and accessories.There are 250 customers with approximately 100 customers active in any given year. Sales are approximately 50% to the commercial and 50% to the military market. Sales are highly repetitive and generated as a result of Two Corporate Web Sites| Referrals| Trade Shows| Customer Site Visits plus Eight Sales Representatives. The company occupies a separately owned 4|400 Square Foot building used for produc-tion| R&D| warehouse and offices. Flexible lease terms available.,US-based with $7 million in revenue| this is a leading designer and manufacturer of high quality customized passive and active RF microwave components for commercial and military application. The majority of products are manufactured in-house and include DAS-distributed antenna systems| amplifier systems| passive filtering components| and accessories.There are 250 customers with approximately 100 customers active in any given year. Sales are approximately 50% to the commercial and 50% to the military market. Sales are highly repetitive and generated as a result of Two Corporate Web Sites| Referrals| Trade Shows| Customer Site Visits plus Eight Sales Representatives. The company occupies a separately owned 4|400 Square Foot building used for produc-tion| R&D| warehouse and offices. Flexible lease terms available.,2
